Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos
2024-07-06 03:15:00+00:00,25.07,25.08,25.04,25.05,9356,34,0,
2024-07-06 03:16:00+00:00,25.04,25.05,25.02,25.05,10517,35,0,
2024-07-06 03:17:00+00:00,25.05,25.06,25.04,25.05,12906,43,0,
2024-07-06 03:18:00+00:00,25.05,25.07,25.05,25.06,1525,18,0,
2024-07-06 03:19:00+00:00,25.06,25.11,25.05,25.11,11832,27,0,
2024-07-06 03:20:00+00:00,25.12,25.15,25.11,25.14,17643,70,0,
2024-07-06 03:21:00+00:00,25.15,25.18,25.15,25.18,18651,76,0,
2024-07-06 03:22:00+00:00,25.18,25.2,25.18,25.18,8826,106,0,
2024-07-06 03:23:00+00:00,25.17,25.18,25.16,25.16,2620,39,0,
2024-07-06 03:24:00+00:00,25.16,25.16,25.13,25.13,2873,27,0,
2024-07-06 03:25:00+00:00,25.12,25.12,25.1,25.1,19883,24,3,25.1005
2024-07-06 03:26:00+00:00,25.1,25.1,25.05,25.06,16296,51,0,
2024-07-06 03:27:00+00:00,25.07,25.09,25.06,25.07,2656,26,0,
2024-07-06 03:28:00+00:00,25.07,25.1,25.07,25.1,1223,26,0,
2024-07-06 03:29:00+00:00,25.1,25.1,25.09,25.1,2045,12,2,25.0905
2024-07-06 03:30:00+00:00,25.1,25.1,25.07,25.07,1948,19,0,
2024-07-06 03:31:00+00:00,25.06,25.07,25.05,25.06,8146,34,0,
2024-07-06 03:32:00+00:00,25.06,25.09,25.06,25.09,5447,40,0,
2024-07-06 03:33:00+00:00,25.08,25.08,25.05,25.05,10199,41,0,
2024-07-06 03:34:00+00:00,25.05,25.08,25.03,25.03,32105,105,0,
2024-07-06 03:35:00+00:00,25.03,25.06,25.03,25.05,1271,15,0,
2024-07-06 03:36:00+00:00,25.05,25.1,25.04,25.06,11980,67,0,
2024-07-06 03:37:00+00:00,25.05,25.08,25.05,25.08,6599,34,0,
2024-07-06 03:38:00+00:00,25.09,25.09,25.03,25.03,122034,196,0,
2024-07-06 03:39:00+00:00,25.04,25.04,25.02,25.04,13777,42,0,
2024-07-06 03:40:00+00:00,25.05,25.09,25.04,25.07,26812,63,0,
2024-07-06 03:41:00+00:00,25.08,25.1,25.05,25.08,3163,41,0,
2024-07-06 03:42:00+00:00,25.08,25.09,25.03,25.03,29718,105,0,
2024-07-06 03:43:00+00:00,25.04,25.05,25.02,25.05,12735,50,0,
2024-07-06 03:44:00+00:00,25.05,25.1,25.05,25.09,6240,30,0,
2024-07-06 03:45:00+00:00,25.09,25.1,25.04,25.04,28354,108,0,
2024-07-06 03:46:00+00:00,25.05,25.07,25.02,25.06,12006,45,2,25.0205
2024-07-06 03:47:00+00:00,25.07,25.07,25.04,25.06,3696,20,0,
2024-07-06 03:48:00+00:00,25.06,25.11,25.06,25.07,4526,41,0,
2024-07-06 03:49:00+00:00,25.07,25.07,25.05,25.05,2721,27,0,
2024-07-06 03:50:00+00:00,25.05,25.07,25.04,25.05,12392,52,0,
2024-07-06 03:51:00+00:00,25.05,25.07,25.04,25.07,22685,39,0,
2024-07-06 03:52:00+00:00,25.08,25.1,25.08,25.09,11956,57,0,
2024-07-06 03:53:00+00:00,25.1,25.1,25.07,25.07,1170,21,0,
2024-07-06 03:54:00+00:00,25.07,25.08,25.04,25.05,13368,76,2,25.0405
2024-07-06 03:55:00+00:00,25.05,25.07,25.05,25.06,1691,26,0,
2024-07-06 03:56:00+00:00,25.06,25.11,25.06,25.09,5391,36,0,
2024-07-06 03:57:00+00:00,25.09,25.11,25.07,25.08,10982,34,0,
2024-07-06 03:58:00+00:00,25.08,25.09,25.07,25.08,6056,35,0,
2024-07-06 03:59:00+00:00,25.08,25.09,25.07,25.07,4966,31,0,
2024-07-06 04:00:00+00:00,25.07,25.09,25.06,25.08,3679,39,0,
2024-07-06 04:01:00+00:00,25.08,25.11,25.08,25.1,1480,18,0,
2024-07-06 04:02:00+00:00,25.11,25.13,25.09,25.1,16930,49,5,25.0905
2024-07-06 04:03:00+00:00,25.11,25.17,25.11,25.17,31814,68,0,
2024-07-06 04:04:00+00:00,25.18,25.2,25.16,25.17,8404,47,0,
2024-07-06 04:05:00+00:00,25.18,25.19,25.15,25.17,17434,82,0,
2024-07-06 04:06:00+00:00,25.18,25.18,25.15,25.16,33400,130,0,
2024-07-06 04:07:00+00:00,25.16,25.16,25.13,25.13,7003,37,0,
2024-07-06 04:08:00+00:00,25.13,25.13,25.11,25.13,1419,18,0,
2024-07-06 04:09:00+00:00,25.13,25.16,25.11,25.11,22791,65,0,
