Datetime,Open,High,Low,Close,Volume,Adj Close
2024-07-15 23:49:00+00:00,27.79,27.81,27.78,27.78,37966,76
2024-07-15 23:50:00+00:00,27.78,27.78,27.74,27.75,64346,137
2024-07-15 23:51:00+00:00,27.74,27.81,27.73,27.8,110856,211
2024-07-15 23:52:00+00:00,27.79,27.8,27.78,27.8,14299,47
2024-07-15 23:53:00+00:00,27.81,27.82,27.79,27.79,70673,90
2024-07-15 23:54:00+00:00,27.8,27.83,27.8,27.81,18309,77
2024-07-15 23:55:00+00:00,27.82,27.87,27.82,27.83,58425,134
2024-07-15 23:56:00+00:00,27.83,27.85,27.83,27.84,52204,96
2024-07-15 23:57:00+00:00,27.83,27.86,27.83,27.85,10541,44
2024-07-15 23:58:00+00:00,27.84,27.86,27.83,27.85,26230,83
2024-07-15 23:59:00+00:00,27.85,27.85,27.8,27.82,33678,70
2024-07-16 00:00:00+00:00,27.83,27.88,27.82,27.85,97634,168
2024-07-16 00:01:00+00:00,27.85,27.87,27.81,27.81,69828,179
2024-07-16 00:02:00+00:00,27.82,27.87,27.81,27.86,29650,73
2024-07-16 00:03:00+00:00,27.85,27.9,27.85,27.88,92742,231
2024-07-16 00:04:00+00:00,27.9,27.9,27.87,27.9,76374,134
2024-07-16 00:05:00+00:00,27.9,27.95,27.9,27.95,113847,433
2024-07-16 00:06:00+00:00,27.94,27.97,27.93,27.94,55710,161
2024-07-16 00:07:00+00:00,27.95,28.0,27.84,27.85,222951,895
2024-07-16 00:08:00+00:00,27.86,27.95,27.86,27.94,45050,151
2024-07-16 00:09:00+00:00,27.94,28.0,27.92,27.97,215435,530
2024-07-16 00:10:00+00:00,27.97,28.01,27.95,27.96,184811,462
2024-07-16 00:11:00+00:00,27.95,27.95,27.87,27.88,61202,168
2024-07-16 00:12:00+00:00,27.89,27.89,27.82,27.84,145923,276
2024-07-16 00:13:00+00:00,27.85,27.88,27.82,27.85,101431,152
2024-07-16 00:14:00+00:00,27.86,27.87,27.83,27.86,27095,72
2024-07-16 00:15:00+00:00,27.85,27.85,27.79,27.79,44020,125
2024-07-16 00:16:00+00:00,27.79,27.82,27.73,27.74,160318,290
2024-07-16 00:17:00+00:00,27.73,27.74,27.68,27.68,114341,271
